61535,6,610,10,30,16,3639.59
15571,57,3275,18,22,36,1087.24
54051,52,3212,1,39,11,2874.62
37847,50,2021,21,19,31,2237.28
6288,6,695,34,6,26,744.12
50662,58,2557,12,28,6,2733.44
87120,5,3056,26,14,32,3588.05
39383,45,2164,2,38,4,2326.18
31595,37,1570,38,2,12,1868.55
55188,22,1202,20,20,32,3263.00
59008,4,2894,8,32,25,3491.89
3884,51,429,10,30,33,566.46
97638,36,1496,15,25,4,3842.05
74787,46,3092,34,6,5,2953.25
27054,14,467,2,38,9,2758.31
99869,55,2323,34,6,31,3920.49
61297,38,3358,34,6,10,3351.17
70153,6,2900,37,3,13,4156.36
86413,20,3711,20,20,16,3416.34
9159,57,1916,25,15,26,806.73
9334,41,377,2,38,11,722.30
9457,49,932,35,5,25,799.07
217497,29,685,3,37,17,6689.71
156820,33,38,30,10,23,5467.68
19950,18,64,19,21,26,2067.45
15095,11,261,27,13,39,1791.20
195108,38,3074,11,29,25,5855.06
3194,54,1752,24,16,3,440.28
11262,5,921,23,17,14,1333.59
67921,17,1403,8,32,3,3129.77
3404,37,3553,39,1,10,607.35
23960,31,1664,26,14,21,1418.97
11647,13,3755,34,6,13,1378.18
1671,44,1979,28,12,24,282.80
13660,45,2709,7,33,30,969.49
23838,12,326,6,34,12,2723.08
31286,57,1510,8,32,6,1849.16
574,47,465,17,23,17,90.98
28561,30,771,12,28,28,1691.54
154083,7,1117,26,14,3,6748.05
23591,12,2994,5,35,24,2788.25
3442,18,399,39,1,6,712.15
9587,45,3818,1,39,8,725.93
1789,40,150,31,9,8,332.75
3723,11,2801,12,28,7,440.90
10486,47,258,20,20,21,823.74
1385,48,11,1,39,18,185.63
196048,7,1830,9,31,31,7144.43
254258,13,471,28,12,8,7229.95
10020,10,3178,11,29,25,1187.67
44807,59,671,25,15,20,2483.00
17581,59,2067,28,12,18,1235.22
153156,39,1522,12,28,21,5181.85
198770,12,3369,9,31,4,6913.24
184940,29,213,23,17,36,6173.47
175080,8,3487,37,3,3,6917.36
116310,10,2956,1,39,32,4605.56
9394,45,1491,24,16,37,714.60
8240,49,476,9,31,22,744.93
14644,30,2759,25,15,26,1260.23
141966,51,1013,14,26,37,4942.22
35612,40,3514,25,15,26,2105.90
5002,26,1464,29,11,21,591.85
183806,36,530,35,5,14,5815.03
11149,32,3418,11,29,15,1154.91
60158,45,1665,29,11,18,3011.25
3462,10,3599,8,32,27,410.06
49732,13,3288,35,5,6,2958.08
163430,30,1342,3,37,19,5472.26
35526,27,3142,18,22,22,2101.68
92449,38,1938,12,28,25,3649.40
14646,45,3858,6,34,36,1042.62
22245,15,1953,5,35,34,2210.91
493626,59,1038,2,38,29,7293.99
10038,41,786,27,13,12,633.03
19183,7,526,24,16,22,2268.55
5585,35,3803,36,4,1,596.09
6182,27,2618,36,4,28,730.08
89024,12,1063,21,19,13,3514.78
15475,6,2725,38,2,14,1831.16
62757,3,3722,32,8,3,5021.90
9941,34,1287,34,6,2,1210.00
4234,8,3739,28,12,28,1118.61
147717,20,2916,38,2,19,5847.12
10192,51,2757,24,16,39,858.68
719,6,2897,6,34,33,232.22
15698,53,2022,21,19,15,1158.36
73244,47,3884,20,20,36,2924.73
77495,12,2918,29,11,20,3229.23
68288,49,584,5,35,37,2696.74
1063,24,1152,4,36,14,175.58
79556,46,964,2,38,5,3136.64
3141,32,4056,11,29,1,-1.00
6087,34,1047,36,4,39,657.41
10761,32,293,29,11,19,1130.53
16724,55,2396,37,3,34,1185.71
64501,12,1105,23,17,13,3815.16
146733,31,2600,14,26,24,5242.08
15790,32,2489,1,39,6,1372.69
3352,19,4048,33,7,13,397.22
7629,10,4002,7,33,32,904.20
12017,21,2503,8,32,25,1346.04
209517,11,209,34,6,3,7030.68
54461,9,3677,36,4,7,3230.73
63017,31,303,31,9,6,3696.37
470484,51,2619,20,20,21,7143.05
832,33,2303,20,20,31,129.53
29272,46,3505,11,29,8,1731.04
93227,18,2550,35,5,9,3726.97
139327,30,2589,2,38,16,5178.07
45095,12,226,13,27,37,2672.12
24559,28,1033,25,15,28,1581.57
13103,57,2488,20,20,8,999.83
2971,33,487,7,33,28,478.63
4562,51,3645,2,38,39,412.80
138455,45,134,11,29,15,4944.12
44685,5,3274,20,20,25,3546.60
21018,48,619,34,6,32,1274.38
21227,54,845,7,33,1,1266.44
194816,27,3861,28,12,12,6393.23
134557,54,1470,9,31,34,5375.89
17300,7,3775,27,13,33,2045.10
334542,3,1377,15,25,9,7749.50
1250,32,3025,3,37,28,-1.00
58137,29,1329,6,34,28,3432.99
171280,8,2756,6,34,31,6829.04
8130,27,2204,34,6,39,959.07
64399,4,564,16,24,38,4995.56
60678,52,3045,33,7,39,2969.68
47288,54,2284,2,38,15,2564.39
30330,42,2874,35,5,27,1807.03
25683,27,3798,32,8,31,1692.09
54858,38,1915,11,29,17,3203.82
448266,33,1167,33,7,39,7610.95
19836,60,2822,27,13,34,1383.74
5158,3,1103,36,4,24,613.09
13708,57,354,23,17,34,1036.51
18525,51,3187,35,5,25,1188.15
114351,58,2938,23,17,39,4321.39
10871,36,1615,18,22,8,917.85
10692,48,687,22,18,7,869.31
25195,24,3147,36,4,3,2104.66
244572,7,36,15,25,33,7434.30
147777,49,3113,9,31,39,5167.56
46553,23,3520,5,35,8,2752.89
820,48,1798,11,29,37,125.87
47183,41,1575,23,17,33,2767.82
16419,52,3162,2,38,30,1122.50
177429,31,2718,29,11,21,5717.72
335501,9,2388,24,16,30,7681.98
19992,5,3907,14,26,34,2364.70
5518,15,2072,27,13,13,652.77
17767,60,2080,9,31,32,1259.12
30289,31,2782,27,13,15,1791.69
17109,43,39,31,9,5,1206.65
42030,4,1742,9,31,30,3295.71
16603,49,3613,5,35,18,1001.60
18624,24,807,36,4,11,1756.84
8393,27,3510,7,33,19,1006.35
378713,37,3466,2,38,11,7302.47
181979,44,1030,33,7,9,5700.61
157987,28,1648,36,4,36,5669.42
384467,7,2153,33,7,23,7807.33
198453,41,1424,23,17,17,5835.01
345097,28,3773,7,33,26,7317.77
5310,11,2895,7,33,10,627.55
27511,7,127,7,33,39,3252.23
65834,42,2735,9,31,13,2974.90
7060,10,3725,28,12,16,835.49
78679,55,3007,25,15,30,3100.17
107472,48,2202,22,18,7,4236.48
12371,10,1685,15,25,13,1465.70
123187,33,1890,5,35,12,4749.88
176767,21,2137,36,4,20,6032.30
80204,60,1267,28,12,2,3166.59
43961,18,3503,5,35,11,2602.58
11135,38,119,28,12,1,781.97
12203,26,3010,32,8,8,1295.25
12601,34,50,10,30,29,1129.94
6329,38,3,6,34,2,650.85
103925,13,1169,33,7,6,4108.34
19251,60,1847,9,31,4,1349.40
16476,34,2715,15,25,20,1109.98
3470,42,2501,37,3,31,615.29
12636,42,3323,31,9,2,889.74
4706,28,1205,22,18,24,556.40
28693,58,2319,20,20,1,1702.65
157563,28,2479,38,2,35,5507.58
9287,21,3456,17,23,10,1401.91
17252,9,2797,21,19,20,2043.39
82316,41,1603,30,10,4,3263.36
170415,55,122,14,26,13,5609.25
127387,20,2440,2,38,27,5018.03
159465,60,3263,7,33,26,5155.93
9338,27,1028,11,29,5,1229.48
141169,11,3661,21,19,23,5669.24
58611,58,3017,36,4,20,-1.00
13365,39,4025,3,37,23,798.12
396349,9,3640,15,25,13,7848.55
7231,59,3731,2,38,21,671.92
1839,12,3088,3,37,15,397.32
14450,33,1742,14,26,21,1317.47
6254,14,444,8,32,15,738.88
1287,45,2166,32,8,12,177.48
7380,57,1295,18,22,29,627.61
10967,19,3731,34,6,16,1294.86
9914,26,1699,16,24,9,1248.59
107770,12,2029,24,16,19,4250.21
180539,13,777,18,22,30,6502.60
192353,27,1617,30,10,31,6319.06
191798,32,49,30,10,36,6106.77
4238,11,3134,7,33,14,956.56
4110,43,2024,8,32,35,711.80
49766,25,1658,29,11,12,2942.92
118581,52,3219,17,23,4,4464.06
2515,51,3650,15,25,8,366.10
28003,26,2661,22,18,19,1656.19
17192,13,394,6,34,28,1952.88
8508,48,1707,36,4,10,705.88
178891,10,1889,38,2,14,6607.09
14785,22,2043,37,3,1,1484.95
16011,33,3002,33,7,27,1331.37
8577,41,3666,16,24,10,508.83
31416,14,1257,24,16,10,2578.94
145073,5,36,33,7,5,6515.23
117694,60,2811,11,29,21,4180.29
914,48,3208,36,4,4,136.01
186158,60,3428,23,17,33,5792.34
6035,56,3975,11,29,30,535.79
123022,3,894,3,37,16,4850.06
15724,13,2846,25,15,27,1744.36
93866,31,1918,27,13,29,3701.85
166718,11,3634,18,22,4,6366.01
84699,32,762,36,4,5,3340.75
7800,50,693,27,13,5,707.11
95747,40,619,22,18,20,3774.56
487915,15,1318,25,15,39,7915.86
38421,33,1981,27,13,13,2272.29
475130,37,1847,26,14,23,7583.80
18987,52,2687,27,13,36,1295.94
15838,55,2658,31,9,35,1139.58
21090,20,2446,18,22,14,1920.22
42092,30,762,8,32,26,2489.73
173301,44,3734,7,33,9,5567.87
128774,56,1528,11,29,25,4448.93
15229,36,3558,21,19,15,905.56
190926,3,3081,15,25,36,7082.51
18245,3,803,4,36,13,2157.88
8672,6,347,24,16,26,1026.92
30508,24,3462,27,13,14,1806.26
273256,23,3046,26,14,8,7244.41
34996,53,1422,8,32,19,2073.71
22264,31,3540,21,19,13,1333.41
115880,15,1340,14,26,2,4570.59
153076,30,2228,2,38,8,5710.64
65919,43,77,17,23,36,2628.69
